"id","epa_x","epa_y","map_x","map_y"
"12094","3221052","1411334","1047152.978","389246.198"
"12095","3221429","1411556","1047943.692","388032.822"
"12096","3222112","1411890","1046970.633","389976.554"
"12107","3221602","1411954","1047583.925","388729.632"
"12108","3221689","1412335","1048255.483","388468.085"
"12112","3222238","1411913","1046421.919","390131.189"
"12114","3221656","1412969","1047389.583","387751.818"
"12115","3222323","1411994","1047005.904","387971.861"
"12117","3222524","1412093","1048225.389","388092.345"
"12118","3222980","1412313","1047194.282","387654.353"
"12119","3222803","1412847","1047114.106","389204.679"
"12126","3223450","1413043","1047152.263","388724.418"
"12129","3223487","1412410","1049122.068","388366.554"
"12131","3223375","1412425","1048271.527","388012.673"
"12133","3223376","1412762","1047136.296","389318.196"
"12134","3222929","1412600","1048298.291","388519.722"
"12139","3222651","1412466","1048392.685","389194.541"
"12140","3222273","1412529","1047354.757","387685.783"
"12141","3222651","1413085","1048234.002","388413.401"
"12142","3222542","1413415","1047005.272","390291.15"
"12147","3223413","1413853","1047228.964","388467.716"
"12152","3222863","1415064","1047997.173","388922.957"
"12153","3220585","1413300","1046988.864","387660.073"
"12154","3220826","1413438","1047170.913","388772.171"
"12157","3221158","1413397","1048089.197","387984.942"
"12159","3221014","1413010","1048305.514","388792.137"
"12160","3221342","1413030","1048240.371","388352.092"
"12173","3221826","1413438","1047827.234","388676.874"
"12174","3221513","1414037","1047015.619","387971.786"
"12175","3221685","1413704","1048591.675","387915.639"
"12176","3222407","1414502","1048033.322","388541.362"
"12177","3222601","1414130","1048219.71","388397.752"
"12178","3221840","1414209","1047207.765","388049.751"
"12179","3221995","1413842","1047903.675","390317.87"
"12180","3222347","1413982","1048968.993","388557.432"
"12181","3221992","1414583","1048153.156","390178.693"
"12182","3221115","1414127","1048009.748","388906.306"
"12183","3220509","1414097","1048126.003","388476.136"
"12184","3220499","1414624","1048060.919","388139.358"
"12186","3220223","1414803","1048535.868","387701.634"
"12187","3220386","1415236","1047007.153","387996.449"
"12191","3221001","1415221","1047971.68","388458.102"
"12192","3221274","1415683","1046879.243","388125.785"
"12193","3220931","1415184","1047834.909","389465.755"
"12196","3221243","1415352","1047988.817","387745.706"
